,brand,state,year,quarter,count,percentage
80,Oppo,Andaman & Nicobar,2019,4,2329,0.0897149460708782
81,Realme,Andaman & Nicobar,2019,4,1329,0.0511941448382126
82,OnePlus,Andaman & Nicobar,2019,4,1124,0.0432973805855161
83,Huawei,Andaman & Nicobar,2019,4,798,0.0307395993836671
84,Motorola,Andaman & Nicobar,2019,4,682,0.0262711864406779
85,Apple,Andaman & Nicobar,2019,4,678,0.0261171032357473
86,Lenovo,Andaman & Nicobar,2019,4,488,0.0187981510015408
87,Others,Andaman & Nicobar,2019,4,2183,0.084090909090909
88,Xiaomi,Andaman & Nicobar,2020,1,6803,0.2398124647490129
89,Vivo,Andaman & Nicobar,2020,1,5880,0.2072758037225042
90,Samsung,Andaman & Nicobar,2020,1,5335,0.1880640157924422
91,Oppo,Andaman & Nicobar,2020,1,2557,0.0901367738296672
92,Realme,Andaman & Nicobar,2020,1,1511,0.0532642413987591
93,OnePlus,Andaman & Nicobar,2020,1,1184,0.0417371686407219
94,Huawei,Andaman & Nicobar,2020,1,891,0.0314086294416243
95,Apple,Andaman & Nicobar,2020,1,735,0.025909475465313
96,Motorola,Andaman & Nicobar,2020,1,715,0.0252044557247602
97,Lenovo,Andaman & Nicobar,2020,1,500,0.0176254935138183
98,Others,Andaman & Nicobar,2020,1,2257,0.0795614777213762
99,Xiaomi,Andaman & Nicobar,2020,2,7805,0.2386120452461021
100,Vivo,Andaman & Nicobar,2020,2,7122,0.2177315805564047
101,Samsung,Andaman & Nicobar,2020,2,6030,0.1843472944053806
102,Oppo,Andaman & Nicobar,2020,2,2976,0.0909813512687251
103,Realme,Andaman & Nicobar,2020,2,1761,0.0538367471721186
104,OnePlus,Andaman & Nicobar,2020,2,1271,0.038856618771018
105,Huawei,Andaman & Nicobar,2020,2,1005,0.0307245490675634
106,Apple,Andaman & Nicobar,2020,2,792,0.0242127789666768
107,Motorola,Andaman & Nicobar,2020,2,779,0.0238153469886884
108,Lenovo,Andaman & Nicobar,2020,2,552,0.016875573219199
109,Others,Andaman & Nicobar,2020,2,2617,0.0800061143381229
110,Xiaomi,Andaman & Nicobar,2020,3,9794,0.2369420587879521
111,Vivo,Andaman & Nicobar,2020,3,9556,0.2311842264424821
112,Samsung,Andaman & Nicobar,2020,3,7572,0.1831861618483125
113,Oppo,Andaman & Nicobar,2020,3,3730,0.0902382968428692
114,Realme,Andaman & Nicobar,2020,3,2285,0.0552800290310874
115,OnePlus,Andaman & Nicobar,2020,3,1440,0.0348373049473811
116,Huawei,Andaman & Nicobar,2020,3,1213,0.0293455909035925
117,Motorola,Andaman & Nicobar,2020,3,907,0.0219426636022741
118,Apple,Andaman & Nicobar,2020,3,870,0.0210475384057094
119,Lenovo,Andaman & Nicobar,2020,3,606,0.0146606991653562
120,Others,Andaman & Nicobar,2020,3,3362,0.0813354300229829
121,Xiaomi,Andaman & Nicobar,2020,4,12398,0.236621116115734
122,Vivo,Andaman & Nicobar,2020,4,12275,0.2342736086724177
123,Samsung,Andaman & Nicobar,2020,4,9938,0.1896709672494083
124,Oppo,Andaman & Nicobar,2020,4,4723,0.0901404687380716
125,Realme,Andaman & Nicobar,2020,4,2996,0.0571799373998015
126,OnePlus,Andaman & Nicobar,2020,4,1638,0.0312619283914802
127,Huawei,Andaman & Nicobar,2020,4,1472,0.0280937476143217
128,Motorola,Andaman & Nicobar,2020,4,1032,0.0196961600122146
129,Apple,Andaman & Nicobar,2020,4,973,0.0185701198564775
130,Lenovo,Andaman & Nicobar,2020,4,708,0.0135124818688449
131,Others,Andaman & Nicobar,2020,4,4243,0.0809794640812275
132,Vivo,Andaman & Nicobar,2021,1,13812,0.2391357041448803
133,Xiaomi,Andaman & Nicobar,2021,1,13714,0.2374389694934035
134,Samsung,Andaman & Nicobar,2021,1,10861,0.1880432147927559
135,Oppo,Andaman & Nicobar,2021,1,5158,0.0893036462481387
136,Realme,Andaman & Nicobar,2021,1,3419,0.0591952629938709
137,OnePlus,Andaman & Nicobar,2021,1,1773,0.0306970462966169
138,Huawei,Andaman & Nicobar,2021,1,1575,0.0272689497558779
139,Motorola,Andaman & Nicobar,2021,1,1062,0.0183870632639634
140,Apple,Andaman & Nicobar,2021,1,1056,0.0182831815506077
